,title,originallink,link,description,pubDate
22,정해인 앙코르 팬미팅 'OUR TIME – HBD' 감동 가득 마무리,https://www.topstarnews.net/news/articleView.html?idxno=15628592,https://www.topstarnews.net/news/articleView.html?idxno=15628592,"정해인은 '오래된 노래', 'Crazy', '<b>나는 반딧불</b>' 등 다양한 곡을 부르며 무대를 꽉 채웠다. MC 유재필의 등장으로 진행된 'OUR TIME HBD' 코너에서는 케이크 만들기, 선물 추첨, 타임캡슐 영상 관람 등으로 팬들과의 추억을... ","Thu, 03 Apr 2025 11:20:00 +0900"
23,"정해인 앙코르 팬미팅 'OUR TIME – HBD', 팬들과 감동의 시간을 보내다",https://www.thepublic.kr/news/articleView.html?idxno=256799,https://www.thepublic.kr/news/articleView.html?idxno=256799,"스탠딩 에그의 '오래된 노래', 케빈오, 프라이머리 'Crazy', 황가람의 '<b>나는 반딧불</b>'을 연달아 부르며 감미로운 음색으로 분위기를 끌어올렸다. 'OUR TIME HBD' 코너에서는 MC 유재필이 깜짝 등장해 함께 웃음꽃을 피웠다.... ","Thu, 03 Apr 2025 11:14:00 +0900"
24,"황가람, '<b>나는 반딧불</b>'로 차트 정점…전국 투어로 팬들과 만남 예고",https://www.thepublic.kr/news/articleView.html?idxno=256776,https://www.thepublic.kr/news/articleView.html?idxno=256776,지난해 10월 21일 발매한 싱글 '<b>나는 반딧불</b>'은 발매 후 160일 만인 지난달 30일 오후 11시 기준 멜론 톱100 차트... 위로송 '<b>나는 반딧불</b>'로 빛을 보게 된 인생 스토리를 전했다. 그는 자신을 알아보는 팬들은 물론 어머니... ,"Thu, 03 Apr 2025 11:00:00 +0900"
25,"용산구, 구민들 위한 '힐링콘서트' 개최...김수찬·황가람 등 출연",http://www.hg-times.com/news/articleView.html?idxno=270882,http://www.hg-times.com/news/articleView.html?idxno=270882,"<b>나는 반딧불</b>'로 큰 사랑을 받고 있는 가수 황가람, 트로트 가수 김수찬을 비롯해 국내 최초의 남성 샹송 가수 무슈 고, 퓨전국악팀 Allstring(올스티링) 등이 출연해 무대를 빛낸다. 가수 황가람은 대표곡 '<b>나는 반딧불</b>... ","Thu, 03 Apr 2025 10:38:00 +0900"
26,"[트래블투데이] 낭만벚꽃, 낭만정읍...2025 정읍 벚꽃축제 4월 5일 개막",http://www.travelitoday.com/read/contentsView/20127/41,http://www.travelitoday.com/read/contentsView/20127/41,"그러던 중 지난해 10월 발표한 리메이크 싱글 ‘<b>나는 반딧불</b>’이 뒤늦게 대중의 호응을 얻으며 주목받고 있다. 종횡무진 활동하고 있는 ‘성인 가요계의 이효리’ 김용임, 7~80년대를 풍미했던‘당신 때문에’의... ","Thu, 03 Apr 2025 10:16:00 +0900"
27,용산구 “구민들의 지친 마음 치유하다” 힐링콘서트 개최,https://www.seoul.co.kr/news/publicnews/2025/04/03/20250403500050?wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003530432?sid=100,"‘<b>나는 반딧불</b>’로 큰 사랑을 받고 있는 가수 황가람, 트로트 가수 김수찬을 비롯해 국내 최초의 남성 샹송 가수 무슈 고, 퓨전국악팀 Allstring(올스티링) 등이 출연해 무대를 빛낸다. 가수 황가람은 대표곡 ‘<b>나는 반딧불</b>... ","Thu, 03 Apr 2025 10:04:00 +0900"
28,"황가람, <b>반딧불</b>로 알려졌지만 빚 청산 위해 아르바이트",https://www.topstarnews.net/news/articleView.html?idxno=15628515,https://www.topstarnews.net/news/articleView.html?idxno=15628515,"가수 황가람이 무명 시절을 지나 노래 '<b>나는 반딧불</b>'로 이름을 알렸지만, 여전히 빚을 청산하지 못해... 제자가 '<b>나는 반딧불</b>'의 저작권 수익을 묻자, 황가람은 &quot;작사·작곡은 내가 아니고, 수익도 아직 정산되지 않았다&quot;며... ","Thu, 03 Apr 2025 09:52:00 +0900"
29,"용산구, “구민들의 지친 마음 치유하다” 힐링콘서트 개최",http://www.shinailbo.co.kr/news/articleView.html?idxno=2031456,http://www.shinailbo.co.kr/news/articleView.html?idxno=2031456,"‘<b>나는 반딧불</b>’로 큰 사랑을 받고 있는 가수 황가람, 트로트 가수 김수찬을 비롯해 국내 최초의 남성 샹송 가수 무슈 고, 퓨전국악팀 Allstring(올스티링) 등이 출연해 무대를 빛낸다. 가수 황가람은 대표곡 ‘<b>나는 반딧불</b>... ","Thu, 03 Apr 2025 07:54:00 +0900"
30,"용산구, 10일 용산아트홀서 ‘힐링콘서트’",https://view.asiae.co.kr/article/2025040307503778689,https://n.news.naver.com/mnews/article/277/0005572034?sid=102,"‘<b>나는 반딧불</b>’로 큰 사랑을 받는 가수 황가람, 트로트 가수 김수찬을 비롯해 국내 최초의 남성 샹송 가수 무슈 고, 퓨전국악팀 Allstring(올스티링) 등이 출연해 무대를 빛낸다. 가수 황가람은 대표곡 ‘<b>나는 반딧불</b>’... ","Thu, 03 Apr 2025 07:50:00 +0900"
31,[편집장 레터] 미로 찾기,https://www.hankyung.com/article/202503256905i,https://n.news.naver.com/mnews/article/015/0005114340?sid=101,"그런데 후배들과 부른 노래는 이문세의 ‘광화문 연가’ 같은 달달한 발라드나 크라잉넛의 ‘말 달리자’ 같은 흥겨운 노래가 아닌 김범수의 ‘지나간다’, 황가람의 ‘<b>나는 반딧불</b>’ 등 먹먹한 노래가 대부분이었죠.... ","Thu, 03 Apr 2025 06:07:00 +0900"
